文件,节点类型,键,值,desc文本,行号,命名空间
objects.svg,rect,empty,0;0,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,shop1_l,0;1 2;1 4;1,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,shop1_r,1;1 3;1 5;1,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,shop1_door_l,6;1,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,shop1_door_r,7;1,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,apartment1_window,1;0 2;0 3;0 4;0 5;0 6;0 7;0,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,apartment1_window_wide1_l,0;2 2;2,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,apartment1_window_wide1_r,1;2 3;2,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,apartment1_window_wide2_l,4;2 6;2,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,apartment1_window_wide2_r,5;2 7;2,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,apartment1_small_window,0;3,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,apartment1_1st_floor_door,1;3,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,apartment1_1st_floor_door_wide1_l,2;3,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,apartment1_1st_floor_door_wide1_r,3;3,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,apartment1_1st_floor_window,4;3,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,apartment1_1st_floor_empty,5;3,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
objects.svg,rect,apartment1_1st_floor_poster_wide1_l,6;3,"empty = 0;0; shop1_l = 0;1 2;1 4;1; shop1_r = 1;1 3;1 5;1; shop1_door_l = 6;1; shop1_door_r = 7;1; apartment1_window = 1;0 2;0 3;0 4;0 5;0 6;0 7;0; apartment1_window_wide1_l = 0;2 2;2; apartment1_window_wide1_r = 1;2 3;2; apartment1_window_wide2_l = 4;2 6;2; apartment1_window_wide2_r = 5;2 7;2; apartment1_small_window = 0;3; apartment1_1st_floor_door = 1;3; apartment1_1st_floor_door_wide1_l = 2;3; apartment1_1st_floor_door_wide1_r = 3;3; apartment1_1st_floor_window = 4;3; apartment1_1st_floor_empty = 5;3; apartment1_1st_floor_poster_wide1_l = 6;3; apartment1_1st_floor_poster_wide1_r = 7;3; house_window = 0;1 1;1 2;1 3;1 4;1 5;1 6;1 7;1; house_empty = 0;0; house_door = 2;0;",,
