节点类型,inkscape:label,键名,值,值个数
flowRoot,#flowRoot9399-4-1-5,alpha,terrain5_alpha_sand.png,1
flowRoot,#flowRoot9399-4-1-5,color,fill,1
flowRoot,#flowRoot9399-4-1-5,day_color,fill,1
flowRoot,#flowRoot9399-4-1-5,description,conquest map - 8 bases,1
flowRoot,#flowRoot9399-4-1-5,flip,1,1
flowRoot,#flowRoot9399-4-1-5,friction,0.19,1
flowRoot,#flowRoot9399-4-1-5,index,0,2
flowRoot,#flowRoot9399-4-1-5,index,1,2
flowRoot,#flowRoot9399-4-1-5,name,Keepsake Bay,2
flowRoot,#flowRoot9399-4-1-5,name,shop1,2
flowRoot,#flowRoot9399-4-1-5,night_color,stroke,1
flowRoot,#flowRoot9399-4-1-5,outline,1,1
flowRoot,#flowRoot9399-4-1-5,outline_color,fill,1
flowRoot,#flowRoot9399-4-1-5,randomize_faction_index,1,1
flowRoot,#flowRoot9399-4-1-5,scale,0.01 0.01,1
flowRoot,#flowRoot9399-4-1-5,sequence,empty,3
flowRoot,#flowRoot9399-4-1-5,sequence,"shop1_door_l, shop1_door_r",3
flowRoot,#flowRoot9399-4-1-5,sequence,"shop1_l, shop1_r",3
flowRoot,#flowRoot9399-4-1-5,show_base_names_in_map_view,0,1
flowRoot,#flowRoot9399-4-1-5,step_dust_size,0.4,1
flowRoot,#flowRoot9399-4-1-5,step_sound,18,5
flowRoot,#flowRoot9399-4-1-5,step_sound,19,5
flowRoot,#flowRoot9399-4-1-5,step_sound,20,5
flowRoot,#flowRoot9399-4-1-5,step_sound,21,5
flowRoot,#flowRoot9399-4-1-5,step_sound,22,5
flowRoot,#flowRoot9399-4-1-5,step_sound_volume,0.14,1
flowRoot,#flowRoot9399-4-1-5,tag,dirt,1
flowRoot,#flowRoot9399-4-1-5,texture,sand.png,1
flowRoot,无label,alpha_blend,1,1
flowRoot,无label,climbable,0,1
flowRoot,无label,collision_model_offset,0 0 0,1
flowRoot,无label,collision_model_size,.4 3 .4,7
flowRoot,无label,collision_model_size,1.4 1.4 2.2,7
flowRoot,无label,collision_model_size,2 8.0 2,7
flowRoot,无label,collision_model_size,2.3 2.8 6.2,7
flowRoot,无label,collision_model_size,2.8 2 4,7
flowRoot,无label,collision_model_size,5.2 17.2 5.2,7
flowRoot,无label,collision_model_size,6.0 1.0 6.0,7
flowRoot,无label,collision_model_type,-1,3
flowRoot,无label,collision_model_type,0,3
flowRoot,无label,collision_model_type,1,3
